Date,Weekday,Month,Season,Holiday,Temperature,Humidity,Windy,Outlook,Crowdedness,Play_A,PlayTimeHour_A,Play_B,PlayTimeHour_B,Play_C,PlayTimeHour_C,Play_D,PlayTimeHour_D,Play_E,PlayTimeHour_E,Play_F,PlayTimeHour_F,Play_G,PlayTimeHour_G
2021-03-27,5,Mar,Spring,0,6.6,53.0,0,sunny,0.79,1,3.4,0,0.0,1,4.7,0,0.0,0,0.0,0,0.0,0,0.0
2021-03-28,6,Mar,Spring,0,6.5,63.0,0,sunny,0.83,0,0.0,0,0.0,1,4.4,0,0.0,0,0.0,0,0.0,0,0.0
2021-03-29,0,Mar,Spring,0,7.0,54.0,0,overcast,0.62,0,0.0,0,0.0,1,4.6,0,0.0,0,0.0,0,0.0,0,0.0
2021-03-30,1,Mar,Spring,0,7.1,55.0,0,overcast,0.58,0,0.0,0,0.0,1,4.6,0,0.0,0,0.0,0,0.0,0,0.0
2021-03-31,2,Mar,Spring,0,6.5,71.0,1,rainy,0.5,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
2021-04-01,3,Apr,Spring,0,7.2,57.0,1,overcast,0.57,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
2021-04-02,4,Apr,Spring,0,9.0,38.0,0,sunny,0.83,1,3.5,0,0.0,1,4.6,0,0.0,1,2.9,0,0.0,0,0.0
2021-04-03,5,Apr,Spring,0,11.6,64.0,0,sunny,0.84,1,3.1,0,0.0,1,4.6,0,0.0,0,0.0,0,0.0,0,0.0
2021-04-04,6,Apr,Spring,0,13.9,52.0,0,sunny,0.83,1,3.8,1,3.1,1,4.9,0,0.0,1,2.8,0,0.0,0,0.0
2021-04-05,0,Apr,Spring,0,13.4,59.0,1,sunny,0.63,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
2021-04-06,1,Apr,Spring,0,12.1,72.0,1,sunny,0.54,0,0.0,0,0.0,0,0.0,0,0.0,1,3.6,0,0.0,0,0.0
2021-04-07,2,Apr,Spring,0,9.3,50.0,0,sunny,0.7,1,3.4,0,0.0,1,4.6,0,0.0,1,3.3,0,0.0,0,0.0
2021-04-08,3,Apr,Spring,0,5.5,74.0,0,overcast,0.53,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
2021-04-09,4,Apr,Spring,0,4.6,45.0,0,sunny,0.71,1,3.4,0,0.0,1,4.6,0,0.0,1,3.3,0,0.0,0,0.0
2021-04-10,5,Apr,Spring,0,5.0,42.0,1,sunny,0.73,1,3.2,0,0.0,0,0.0,1,3.4,1,3.0,1,3.1,0,0.0
2021-04-11,6,Apr,Spring,0,7.0,56.0,0,sunny,0.73,1,3.2,0,0.0,1,4.6,0,0.0,0,0.0,0,0.0,0,0.0
2021-04-12,0,Apr,Spring,0,9.2,78.0,1,overcast,0.43,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
2021-04-13,1,Apr,Spring,0,10.3,60.0,0,rainy,0.59,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
2021-04-14,2,Apr,Spring,0,10.3,56.0,1,sunny,0.61,0,0.0,0,0.0,0,0.0,0,0.0,1,3.2,0,0.0,0,0.0
2021-04-15,3,Apr,Spring,0,10.6,62.0,0,sunny,0.71,1,3.1,0,0.0,1,4.6,0,0.0,1,3.0,0,0.0,0,0.0
2021-04-16,4,Apr,Spring,0,10.7,76.0,1,overcast,0.62,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
2021-04-17,5,Apr,Spring,0,10.1,61.0,1,overcast,0.87,0,0.0,1,3.3,0,0.0,1,3.4,0,0.0,0,0.0,0,0.0
2021-04-18,6,Apr,Spring,0,10.5,57.0,0,overcast,0.81,1,3.1,1,3.3,1,4.9,0,0.0,0,0.0,0,0.0,0,0.0
2021-04-19,0,Apr,Spring,0,12.1,63.0,0,sunny,0.71,0,0.0,0,0.0,0,0.0,0,0.0,1,2.9,0,0.0,0,0.0
2021-04-20,1,Apr,Spring,0,13.7,70.0,1,rainy,0.55,0,0.0,1,3.4,0,0.0,0,0.0,1,2.8,0,0.0,0,0.0
2021-04-21,2,Apr,Spring,0,14.8,61.0,0,rainy,0.51,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
2021-04-22,3,Apr,Spring,0,14.0,48.0,1,sunny,0.66,1,3.2,0,0.0,0,0.0,0,0.0,1,3.1,0,0.0,0,0.0
2021-04-23,4,Apr,Spring,0,12.1,56.0,0,sunny,0.8,1,3.5,1,3.1,1,4.9,0,0.0,1,3.4,0,0.0,0,0.0
2021-04-24,5,Apr,Spring,0,10.8,67.0,1,overcast,0.9,0,0.0,1,3.9,1,4.5,1,4.0,0,0.0,1,3.2,0,0.0
2021-04-25,6,Apr,Spring,0,10.8,66.0,1,rainy,0.69,0,0.0,1,3.5,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
2021-04-26,0,Apr,Spring,0,12.1,58.0,1,sunny,0.67,0,0.0,0,0.0,0,0.0,0,0.0,1,3.1,0,0.0,0,0.0
2021-04-27,1,Apr,Spring,0,12.7,55.0,0,sunny,0.7,1,3.3,0,0.0,1,4.6,0,0.0,1,3.1,0,0.0,0,0.0
2021-04-28,2,Apr,Spring,0,14.0,64.0,0,sunny,0.64,0,0.0,0,0.0,0,0.0,0,0.0,1,3.0,0,0.0,0,0.0
2021-04-29,3,Apr,Spring,1,14.9,54.0,1,overcast,0.83,0,0.0,1,3.4,1,4.5,1,3.5,0,0.0,0,0.0,0,0.0
2021-04-30,4,Apr,Spring,0,15.7,66.0,0,rainy,0.74,0,0.0,1,3.4,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
2021-05-01,5,May,Spring,0,17.3,48.0,1,sunny,0.86,1,3.1,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
2021-05-02,6,May,Spring,0,16.7,67.0,1,sunny,0.75,0,0.0,1,3.1,0,0.0,1,3.2,1,2.8,0,0.0,0,0.0
2021-05-03,0,May,Spring,1,15.2,51.0,0,overcast,0.89,1,3.6,1,3.5,1,5.0,0,0.0,0,0.0,0,0.0,0,0.0
2021-05-04,1,May,Spring,1,14.6,78.0,1,overcast,0.57,0,0.0,0,0.0,0,0.0,1,3.5,0,0.0,0,0.0,0,0.0
2021-05-05,2,May,Spring,1,14.7,57.0,0,sunny,0.9,1,3.8,1,3.5,1,5.1,0,0.0,1,3.6,0,0.0,0,0.0
2021-05-06,3,May,Spring,0,16.5,74.0,0,rainy,0.65,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
2021-05-07,4,May,Spring,0,17.8,55.0,0,sunny,0.75,1,3.5,0,0.0,1,4.7,0,0.0,1,2.8,0,0.0,0,0.0
2021-05-08,5,May,Spring,0,16.4,69.0,0,sunny,0.85,1,3.4,1,3.5,1,4.8,0,0.0,1,3.3,1,3.1,0,0.0
2021-05-09,6,May,Spring,0,15.4,46.0,1,sunny,0.8,1,3.3,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
2021-05-10,0,May,Spring,0,14.9,74.0,0,sunny,0.61,0,0.0,0,0.0,0,0.0,0,0.0,1,2.8,0,0.0,0,0.0
2021-05-11,1,May,Spring,0,15.7,75.0,0,overcast,0.49,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
2021-05-12,2,May,Spring,0,17.3,60.0,0,overcast,0.65,0,0.0,0,0.0,1,4.6,0,0.0,0,0.0,0,0.0,0,0.0
2021-05-13,3,May,Spring,0,18.2,52.0,1,sunny,0.61,1,3.1,0,0.0,0,0.0,0,0.0,1,3.0,0,0.0,0,0.0
2021-05-14,4,May,Spring,0,18.9,61.0,0,overcast,0.77,0,0.0,0,0.0,1,4.6,0,0.0,0,0.0,0,0.0,0,0.0
2021-05-15,5,May,Spring,0,18.9,56.0,0,sunny,0.83,1,3.6,0,0.0,1,4.8,0,0.0,0,0.0,0,0.0,0,0.0
2021-05-16,6,May,Spring,0,19.4,70.0,1,sunny,0.88,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
2021-05-17,0,May,Spring,0,21.5,52.0,1,overcast,0.56,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
2021-05-18,1,May,Spring,0,22.7,64.0,1,rainy,0.54,0,0.0,1,3.1,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
2021-05-19,2,May,Spring,0,22.2,52.0,0,overcast,0.69,1,3.2,0,0.0,1,4.6,0,0.0,0,0.0,0,0.0,0,0.0
2021-05-20,3,May,Spring,0,20.1,70.0,1,overcast,0.55,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
2021-05-21,4,May,Spring,0,18.3,54.0,0,sunny,0.81,1,3.7,0,0.0,1,4.8,0,0.0,1,3.3,0,0.0,0,0.0
2021-05-22,5,May,Spring,0,18.2,42.0,0,sunny,0.94,1,3.9,1,3.1,1,4.9,0,0.0,0,0.0,0,0.0,0,0.0
2021-05-23,6,May,Spring,0,18.7,79.0,0,overcast,0.56,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
2021-05-24,0,May,Spring,0,17.2,70.0,0,rainy,0.61,0,0.0,1,3.1,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
2021-05-25,1,May,Spring,0,15.3,78.0,1,rainy,0.43,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
2021-05-26,2,May,Spring,0,13.7,57.0,1,sunny,0.69,0,0.0,0,0.0,0,0.0,0,0.0,1,3.1,0,0.0,0,0.0
2021-05-27,3,May,Spring,0,13.5,74.0,1,overcast,0.48,0,0.0,1,3.1,0,0.0,1,3.4,0,0.0,0,0.0,0,0.0
2021-05-28,4,May,Spring,0,13.5,63.0,0,rainy,0.64,0,0.0,1,3.5,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
2021-05-29,5,May,Spring,0,14.8,54.0,0,overcast,0.85,1,3.4,1,3.4,1,4.9,0,0.0,0,0.0,0,0.0,0,0.0
2021-05-30,6,May,Spring,0,15.9,63.0,1,sunny,0.81,1,3.1,1,3.4,1,4.5,1,3.5,1,3.4,1,3.1,0,0.0
2021-05-31,0,May,Spring,0,17.6,60.0,1,overcast,0.61,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
2021-06-01,1,Jun,Spring,0,19.6,57.0,0,overcast,0.67,0,0.0,0,0.0,1,4.6,0,0.0,0,0.0,0,0.0,0,0.0
2021-06-02,2,Jun,Spring,0,21.4,78.0,0,sunny,0.53,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
2021-06-03,3,Jun,Spring,0,22.4,88.0,0,sunny,0.41,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,3.3
2021-06-04,4,Jun,Spring,0,23.1,65.0,0,sunny,0.81,1,3.2,0,0.0,1,4.5,0,0.0,1,3.0,0,0.0,0,0.0
2021-06-05,5,Jun,Spring,0,22.7,88.0,1,overcast,0.43,0,0.0,0,0.0,0,0.0,1,3.6,0,0.0,0,0.0,1,3.4
2021-06-06,6,Jun,Spring,0,21.8,90.0,1,rainy,0.45,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,3.2
2021-06-07,0,Jun,Spring,0,21.8,70.0,0,rainy,0.63,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
2021-06-08,1,Jun,Spring,0,21.0,86.0,1,rainy,0.22,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,3.1
2021-06-09,2,Jun,Spring,0,22.2,69.0,0,overcast,0.68,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
2021-06-10,3,Jun,Spring,0,23.7,55.0,0,sunny,0.67,1,3.4,0,0.0,1,4.5,0,0.0,0,0.0,0,0.0,0,0.0
2021-06-11,4,Jun,Spring,0,25.4,71.0,0,sunny,0.82,0,0.0,0,0.0,0,0.0,0,0.0,1,2.9,0,0.0,0,0.0
2021-06-12,5,Jun,Spring,0,25.3,73.0,0,overcast,0.83,0,0.0,1,3.1,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
2021-06-13,6,Jun,Spring,0,23.2,76.0,1,sunny,0.66,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,3.1
2021-06-14,0,Jun,Spring,0,20.7,72.0,0,rainy,0.62,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
2021-06-15,1,Jun,Spring,0,17.6,77.0,0,rainy,0.5,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
2021-06-16,2,Jun,Spring,0,16.5,79.0,0,rainy,0.49,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
2021-06-17,3,Jun,Spring,0,16.9,77.0,0,rainy,0.59,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
2021-06-18,4,Jun,Spring,0,17.5,82.0,1,sunny,0.53,0,0.0,0,0.0,0,0.0,0,0.0,1,2.8,0,0.0,1,3.2
2021-06-19,5,Jun,Spring,0,17.9,68.0,0,sunny,0.84,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
2021-06-20,6,Jun,Spring,0,17.7,65.0,0,rainy,0.71,1,3.2,1,3.9,1,4.5,0,0.0,0,0.0,0,0.0,0,0.0
2021-06-21,0,Jun,Summer,0,19.3,71.0,0,overcast,0.59,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
2021-06-22,1,Jun,Summer,0,20.3,73.0,0,rainy,0.55,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
2021-06-23,2,Jun,Summer,0,21.5,85.0,0,overcast,0.41,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
